Class,Description
A01F12/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing processing of harvested produce hay or straw presses devices for storing agricultural horticultural topping skinning onions flower bulbs parts details threshing apparatus safety feeders protecting beings
A01F13/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing processing of harvested produce hay or straw presses devices for storing agricultural horticultural topping skinning onions flower bulbs handoperated baling apparatus
A01F15/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing processing of harvested produce hay or straw presses devices for storing agricultural horticultural topping skinning onions flower bulbs baling like
A01F17/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing processing of harvested produce hay or straw presses devices for storing agricultural horticultural topping skinning onions flower bulbs conveyors threshing machines baling
A01F19/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing processing of harvested produce hay or straw presses devices for storing agricultural horticultural topping skinning onions flower bulbs securing threshing machines baling ground eg compensating unevenness
A01F21/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing processing of harvested produce hay or straw presses devices for storing agricultural horticultural topping skinning onions flower bulbs protecting beings threshing machines baling combines feeders apparatus
A01F25/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing processing of harvested produce hay or straw presses devices for storing agricultural horticultural topping skinning onions flower bulbs hangingup fruit maturing arrangements barns preparatory treatment tobacco packing hops
A01F29/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing processing of harvested produce hay or straw presses devices for storing agricultural horticultural topping skinning onions flower bulbs cutting apparatus specially adapted like mowers combined means mown crop
A01G2/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing horticulture cultivation of vegetables flowers rice fruit vines hops or seaweed watering picking fruits like propagating unicellular algae vegetative propagation plant reproduction tissue culture techniques
A01G3/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing horticulture cultivation of vegetables flowers rice fruit vines hops or seaweed watering picking fruits like propagating unicellular algae cutting implements specially adapted horticultural purposes delimbing standing trees delimbers
